Reaction,fc,pval
5ADTSTSTERONEGLCtr,0.8409612257517243,0
ACACt2m,3.597323230301814,0
ACACT9p,0.9631806810608536,0
ADNtm,1.1118274836613207,0
ATPtn,0.8828375318602847,0
C160CPT1,0.9023289667321732,0
C160CPT2,0.8568943018155926,0
C161CPT1,0.9849091045433148,0
C226COAtx,1.0424951196754697,0
CHOLPtg,0.8435833344815901,0
CYSGLNNaEx,0.8472322472236155,0
CYSGLUexR,2.559762641830044,0
CYSt4,0.9694606249283791,0
CYTDt,1.716250445919954,0
CYTK10n,1.3769305638883682,0
CYTK12,1.5346939874176486,0
CYTK13n,0.8894805232865767,0
CYTK14n,2.4524362159465505,0
CYTK8,55.13634650895188,0
D_LACt2,7.141105244058233,0
D_LACtm,0.9275566860910877,0
DUDPtn,1.137515858233633,0
EX_2hb[e],10.31946099166318,0
EX_ksi_deg1[e],0.857173150853576,0
FACOAL260,0.8335142696728823,0
FUCASE2e,0.857173150853576,0
FUMSO3tm,1.0175009461381155,0
FUMtm,1.0435253317587951,0
GALASE16ly,0.8861682241924334,0
GALASE17ly,0.8400486480973975,0
GALASE18ly,0.8400486480973975,0
GALGLUSIDEtl,5.448041728384825,0
GLUDxm,15.799955261909787,0
GLYt4,0.8581473532409214,0
GLYtp,1.6223372676503522,0
H2O2tp,3.847330256647418,0
H2Otly,6.223021557250541,0
HEXCCOAtx,0.9641334412471623,0
ILEt5m,1.2275710779739413,0
ILETAm,1.2275710779739413,0
ITPtn,0.938399188592894,0
KCC2t,1.8467148463754055,0
KSII_CORE2tly,0.8861682241924334,0
LEUt5m,1.1706088854469003,0
LEUTAm,1.1706088854469003,0
LEUtec,1.1001625927599152,0
LNELDCCPT1,1.1287609997743515,0
MMEm,0.9856661981758218,0
NACHEX23ly,0.92699007681085,0
NACHEX24ly,0.9045942642247073,0
NACHEX25ly,0.8400486480973975,0
NADtn,0.913899170797413,0
NDPK6n,1.137515858233633,0
NDPK7n,1.7995673425925334,0
NDPK8n,1.3475578220468722,0
O2ter,2.4269172646229302,0
ORNTArm,1.2030586786698632,0
ORPT,1.8678719405237283,0
PGLYCt,5.712460592664394,0
PHEtec,2.887415388218941,0
PSSA1_hs,1.3819377600485434,0
PTDCAt,1.2637129427968743,0
S6TASE22ly,0.8861682241924334,0
S6TASE23ly,0.92699007681085,0
S6TASE24ly,0.9045942642247073,0
SBTD_D2,0.9124162770573774,0
SBTR,0.9124162770573774,0
SIAASE3ly,0.8861682241924334,0
STRDNCCRNt,1.1630659893003523,0
SUCCt2m,2.203472951466321,0
SUCD1m,5.239479009091012,0
THRALANaEx,0.8866263191555575,0
TMNDNCCPT1,1.0335722403170886,0
TMNDNCCPT2,0.9689147025716206,0
UMPK2n,2.364137416481699,0
UMPK4,1.0310922900696633,0
UMPK5,1.9000885180523914,0
UMPK6n,3.0607929815075097,0
UMPK7,2.5414411878425236,0
VALt5m,1.3253068562486205,0
VALTAm,1.3253068562486205,0
EX_dgmp[e],0.8810702071948283,0
EX_orot[e],1.6716495052443074,0
EX_prpp[e],2.443116153335946,0
r0021,1.380092217887801,0
r0051,2.443116153335946,0
r0245,0.8201052421798383,0
r0309,1.4580298203140218,0
r0409,7.390686793952269,0
r0410,0.8810702071948283,0
r0437,1.064753825589059,0
r0545,0.9170834866242674,0
r0552,1.296109099504524,0
r0571,0.8493821783176374,0
r0643,1.4924766289441358,0
r0672,1.0162695983399528,0
r0829,280.569265566455,0
r0835,0.9534995771148843,0
r0917,73.93275776360092,0
r0999,1.0647538255848628,0
r1090,0.9293399136108181,0
r1147,1.0550565709720003,0
r1544,2.717120632551873,0
r1546,4.914596146531928,0
r1553,0.8212923207515913,0
r1554,1.400800704799182,0
r1569,0.9581579373714879,0
r1570,1.101876029188959,0
r1573,1.9360193880406622,0
r1575,1.517614909712743,0
r1579,7.257790118385853,0
r1581,4.1706332183098125,0
r1584,1.4410433221659644,0
r1588,6.887982730564576,0
r1598,3.3061790947538587,0
r1605,2.019655872693004,0
r1606,4.553295375444906,0
r1610,41.78157443157437,0
r1612,6.688359323514468,0
r1620,1.0304845925984993,0
r1623,4.7414052192481515,0
r1631,6.3896481214640755,0
r1636,112.10947984713157,0
r1643,3.430212476872196,0
r1651,8.104129494177592,0
r1665,1.3191837032956593,0
r1668,0.8670119082562191,0
r1669,15.872532260886285,0
r1671,1.6482348035339764,0
r1676,0.9421183706611636,0
r1713,0.8503064568385891,0
r1745,0.9671096642580695,0
r1749,0.8423904966103906,0
r1755,0.9655021060497868,0
r1763,0.9393271021926423,0
r1772,0.9003198846385021,0
r1775,0.9410246663121861,0
r1781,0.848286542165436,0
r1800,0.8761709187750002,0
r1824,0.8716194337612252,0
r1843,0.8548737583429605,0
r1867,0.89855996018611894,0
r1873,0.9532807958483301,0
r1876,0.9360194484962182,0
r1883,0.9629676780440264,0
r1888,0.9722036525782977,0
r1910,0.9393952142460648,0
r1933,0.8446948157561619,0
r1938,0.9461000141982131,0
r1949,0.9017674655025011,0
r1969,0.9030978034512744,0
r1980,0.8681342896436487,0
r1981,0.9608137995994176,0
r1985,0.9477970220530856,0
r1989,0.8604975903363187,0
r2084,1.0255878130403102,0
r2089,1.1944623084448125,0
r2092,1.147647390621838,0
r2095,1.1933202459763939,0
r2096,0.9742962830151437,0
r2102,1.852934485106299,0
r2103,1.2264897019566805,0
r2104,6.474924472503569,0
r2107,0.9759969074587181,0
r2108,0.9804580461227901,0
r2110,0.9402531723746823,0
r2111,1.0960220203171198,0
r2114,0.9888576321749323,0
r2117,1.0079525642213993,0
r2122,1.0176787166543224,0
r2129,61.96580611761358,0
r2130,0.9534756569991418,0
r2131,1.008829686149252,0
r2132,1.0084774228093067,0
r2133,1.082877474540879,0
r2372,1.5792741007288642,0
r2373,7.825922553884735,0
r2380,1.2371216293451335,0
r2516,4.940416308472543,0
RE0453M,1.2285114148614962,0
RE1100C,134.95555068551758,0
RE1521M,4.428294003695844,0
RE1526M,4.428294003695844,0
RE1533M,4.428294003695844,0
RE1573M,4.428294003695844,0
RE1709N,1.0717581876407307,0
RE2660N,1.0717581876407307,0
RE2759X,6.688416511852109,0
RE3269C,2.4571010867605616,0
RE3431C,1.2436952261820984,0
RE3432C,1.2436952261820984,0
C140CPT1,1.11389109513259,0
C2tcx,2.0334597252820683,0
C30CPT1,1.0280931366110893,0
C40CPT1,3.9397188541192723,0
C4CRNCPT2,3.5740935188036396,0
C4tmc,6.859845083939034,0
34DHPHELAT1tc,0.936823005188194,0
5MTAte,0.8334535241375562,0
AICARte,0.8804997611737422,0
LKYNRtr2,1.4197952253757022,0
CHOLPtr,1.2919380825169793,0
OROT5Ptr,1.8002517944537826,0
SRTNENT4tc,0.9475989014905709,0
MANt4,0.9984366856483992,0
PCHOLN261_HSPLA2,0.8680864091892492,0
DIHOLINETH,0.9684353410944043,0
EX_diholineth[e],0.9684353410944043,0
EX_mev_R[e],2.627887227347901,0
EX_pcholn261_hs[e],0.8444147940780453,0
EX_pe226_hs[e],1.7687977403168813,0
MEV_Rt,2.627887227347901,0
ADRNLtu,0.8353098143012937,0
sink_HC02197[c],0.8470898534078106,0
sink_tmndnc[c],1.4520183311291648,0
EX_2obut[e],0.9274864344975352,0
ACONT,2.1952042290655607,0
BUTt2r,1.34717165242778,0
DGK1,1.6387246419947215,0
EX_so4[e],1.2233110376251188,0
GK1,2.901521143814014,0
MTHFC,1.6261499366211987,0
NDPK7,4.682092078934419,0
NDPK8,10.602280300352083,0
NDPK9,1.9087232806965926,0
PGI,6.898492227246082,0
RPE,6.684604404166706,0
TPI,2.205810114483843,0
UMPK,2.708622300567251,0
r0345,4.626376594382151,0
EX_pnto_R[e],1.0184765161500573,0
AICART,0.8870775319733966,0
CYTK1,0.9081716292414287,0
MALT,0.8314962991917382,0
PYRt2r,526.1517876409714,0
EX_gua[e],1.0361443754670074,0
AHC,1.621813252193116,0
NRVNCABCt,0.8545342581726941,0
PPBNGte,0.8845757201132043,0
EX_ppbng[e],0.8845757201132043,0
UDPG4DOPA,0.9135745405397281,0
DOPA4GLCURt,0.9135745405397281,0
EX_dopa4glcur[e],0.9135745405397281,0
GBA2e,0.8685395195814043,0
HEXA3e,0.9012842988547021,0
TETTET6COAtm,4.755459050015314,0
TETPENT6COAtm,1.488159471261157,0
HMR_0176,0.8398492360894847,0
HMR_0398,0.8485845596737217,0
HMR_0653,0.8335870275000976,0
HMR_0654,0.8335870275000976,0
HMR_0657,0.8335870275000976,0
HMR_1620,0.9390778778381991,0
HMR_1637,0.8228853287258501,0
HMR_2215,0.9581733404823934,0
HMR_2217,0.9581733404823934,0
HMR_2218,0.9581733404823934,0
HMR_2219,0.9581733404823934,0
HMR_2608,1.8115114188184214,0
HMR_2609,1.8115114188184214,0
HMR_2612,1.1979190751325393,0
HMR_2644,1.0077341683837995,0
HMR_2679,0.9345327072206246,0
HMR_2718,2.686707840842497,0
HMR_2722,0.9181546736660784,0
HMR_2731,0.8249617234586482,0
HMR_2748,1.0454758460280855,0
HMR_2753,0.9254098292929814,0
HMR_2764,19.892492804013273,0
HMR_2776,0.9531678738023506,0
HMR_2862,1.3590996512068803,0
HMR_3057,0.9631806810608536,0
HMR_3058,0.9631806810608536,0
HMR_3059,0.9631806810608536,0
HMR_3066,0.8546027583206102,0
HMR_3067,0.8546027583206102,0
HMR_3068,0.8546027583206102,0
HMR_3069,0.8546027583206102,0
HMR_6619,1.1174190834961024,0
HMR_1635,0.8228853287258501,0
UDCHOLt,3.45322603428454,0
SMVHYDROhep,0.9153692858295863,0
